full_text,category,user_id_str,username,created_at,klasifikasi Text Blob,klasifikasi_SVM
 halo warga college disini tahu program msib studi independen mitra celerates ga mau nanya btw sender niatan ambil kelas data analyst yaaa makasih,pengalaman keseluruhan,1.05E+18,collegemenfess,Mon May 27 05:02:10 +0000 2024,Netral,Netral
media universitas teknokrat indonesia menjadi pusat perhatian pertemuan evaluasi bulanan program umkm merdeka magang studi independen bersertifikat msib diinisiasi kementerian pendidikan kebudayaan riset teknologi kemendikbud,pengalaman keseluruhan,1.36E+18,gatsu90rentcar,Mon May 27 04:16:43 +0000 2024,Negatif,Negatif
 sender pengen studi independen kirakira devisi apa relate sama jurusan hukum thanks,pengalaman keseluruhan,1.05E+18,collegemenfess,Mon May 27 03:24:57 +0000 2024,Positif,Positif
mau ikut studi independen gue gak paham uiux,pengalaman keseluruhan,1.36E+18,starryodrey,Mon May 27 02:47:24 +0000 2024,Netral,Netral
ayo ikuti program kampus merdeka seru bermanfaat pt berdikari bekerja sama kementerian pendidikan kebudayaan riset teknologi mengajak mahasiswa indonesia bergabung program magang studi independen bersertifikat msib,pengalaman keseluruhan,607941256,KampusUpdate,Sun May 26 22:59:19 +0000 2024,Positif,Positif
adaa dong kalau studi independen kan jatohnya kayak kelas gitu banyak bidang it,pengalaman keseluruhan,1.53E+18,greebeltape,Sun May 26 19:38:49 +0000 2024,Positif,Positif
seangkatan ga sih kayaknya wkwk jangan panggil kak atuh msib kan kepanjangannya magang studi independen bersertifikat jadi program gitu buat studi independen si ga anak saintek doang kok soshum banyak,pengalaman keseluruhan,1.53E+18,greebeltape,Sun May 26 19:30:53 +0000 2024,Netral,Netral
amin kak semoga aja dri kampus gw cpet responnya wkwkwk btw bru tau gw studi independen bwt anak ipa,pengalaman keseluruhan,1.48E+18,shadeofvalteil,Sun May 26 19:20:40 +0000 2024,Netral,Netral
kan tuh magang sama studi independen kalau ga salah studi independen diperpanjang berapa harian gitu semoga urusan administrasi kampusnya cepet beres yaa emang kadang suka lama situ,pengalaman keseluruhan,1.53E+18,greebeltape,Sun May 26 18:53:56 +0000 2024,Positif,Positif
betullll wkt tau pas belajar statistik apa studi independen yaa lupa deh,pengalaman keseluruhan,1.35E+18,slwpy,Sun May 26 15:13:57 +0000 2024,Netral,Netral
jangan lewatkan kesempatan daftar program studi independen bersertifikat batch program kamu pilih sesuai minat karier Ã¢_xd_ data engineer for entry level Ã¢_xd_ qa engineer for entry level Ã¢_xd_ copywriting for entry level content strategist ,pengalaman keseluruhan,1.51E+18,digital_skola,Sun May 26 10:44:44 +0000 2024,Netral,Netral
ask info mbkm dong ges studi independen bersertifikat pengen ambil fullstack website developer enaknya,pengalaman keseluruhan,1.75E+18,uibaseNG,Sun May 26 10:13:37 +0000 2024,Positif,Positif
haloo magang selama aku daftar lebih sulit studi independen tahap seleksinya cukup banyak kalau studi independen biasanya mengerjakan psikotes,pengalaman keseluruhan,1.11E+18,UrSourceCode,Sun May 26 06:00:38 +0000 2024,Negatif,Negatif
msib aku ikut studi independen digital marketing power academy kalo magang aku magang mandiri pt pal indonesia,pengalaman keseluruhan,1.37E+18,hngggsss,Sun May 26 04:27:48 +0000 2024,Netral,Netral
 gaiss mau tanya rekomendasi mitra studi independen worth it bagus dongg beserta kelebihan kekurangannya apa tia,pengalaman keseluruhan,1.05E+18,collegemenfess,Sun May 26 01:02:53 +0000 2024,Positif,Positif
disini alumni studi independen dicoding garep dong mau nanyaÃ¢Â²,pengalaman keseluruhan,1.28E+18,convomfs,Sat May 25 14:06:29 +0000 2024,Netral,Netral
ambil studi independen ga linier sm jurusan pas lg skripsian smt yay or nayyy dips,pengalaman keseluruhan,1.18E+18,undipmenfess,Sat May 25 13:00:06 +0000 2024,Positif,Positif
sokin dips tim gempar proudly presents puncak acara studi independen halo tim gempar studi independen administrasi publik mengadakan puncak acara segala rangkaian hari acara studi independen rangka mempromosikan bukit cont,pengalaman keseluruhan,1.18E+18,undipmenfess,Sat May 25 11:50:42 +0000 2024,Positif,Positif
 halo disini alumni studi independen dicoding,pengalaman keseluruhan,1.05E+18,collegemenfess,Sat May 25 11:08:21 +0000 2024,Netral,Netral
magang studi independen bersertifikat gann,pengalaman keseluruhan,1.45E+18,yanagarago,Fri May 24 03:22:10 +0000 2024,Netral,Netral
magang studi independen bersertifikat programnya nadiem makarim,pengalaman keseluruhan,1.55E+18,suiczidal,Fri May 24 03:20:49 +0000 2024,Netral,Netral
halo kak ijin bertanya berdasarkan pengalaman kakak melihat magang studi independen peluang masuk kesulitan selama kegiatan bagaimana kakak memandangnya terimakasih,pengalaman keseluruhan,1.27E+18,BattlerUshiro67,Thu May 23 17:53:49 +0000 2024,Netral,Netral
 saran dong pernah ikut studi independen stupen paling worth it apa aja sender jurusan pendidikan bahasa inggris btw,pengalaman keseluruhan,1.05E+18,collegemenfess,Thu May 23 14:14:49 +0000 2024,Positif,Positif
thanks kak buat tipsnya rencananya mau taun depan aku ambil studi independen kalau pertanyaan soal aku dm gak,pengalaman keseluruhan,7.72E+17,ltrwinters,Thu May 23 13:37:57 +0000 2024,Positif,Positif
